rho,t_sweep,t_scaled,A_COM_MSD_mean,A_COM_MSD_sem,B_COM_MSD_mean,B_COM_MSD_sem,Full_COM_MSD_mean,Full_COM_MSD_sem
1.000000000000000000e+00,8.000000000000000000e+01,8.000000000000000167e-03,2.474935407360969286e+00,3.650240169040165454e-03,2.464345865751034648e+00,4.178818310360415261e-03,1.311857973749102735e+00,2.056114923079683382e-03
1.000000000000000000e+00,8.100000000000000000e+01,8.099999999999999561e-03,2.504784917645570097e+00,3.724445457077708854e-03,2.494107799364023492e+00,4.249929803320501645e-03,1.328239490621611729e+00,2.097736823067463362e-03
1.000000000000000000e+00,8.300000000000000000e+01,8.300000000000000086e-03,2.564426241629796710e+00,3.875682112664141123e-03,2.553552106401008714e+00,4.389728405527825589e-03,1.360984324117321842e+00,2.180633422244585180e-03
1.000000000000000000e+00,8.400000000000000000e+01,8.399999999999999481e-03,2.594222495175693144e+00,3.953336383265309249e-03,2.583253987132183571e+00,4.460966057310787429e-03,1.377360880421121481e+00,2.222587620476568389e-03
1.000000000000000000e+00,8.600000000000000000e+01,8.600000000000000006e-03,2.653767776047710747e+00,4.113513768258234005e-03,2.642612479421109217e+00,4.606752334199719530e-03,1.410121675393683827e+00,2.308501209962705771e-03
1.000000000000000000e+00,8.700000000000000000e+01,8.699999999999999400e-03,2.683501713166927871e+00,4.195749095035217029e-03,2.672268742070625702e+00,4.680562519452976383e-03,1.426497341400900121e+00,2.352161329813810993e-03
1.000000000000000000e+00,8.900000000000000000e+01,8.899999999999999925e-03,2.742924381771162157e+00,4.360135107429612307e-03,2.731494365855328343e+00,4.826516821885252877e-03,1.459247089943406239e+00,2.442567233471395951e-03
1.000000000000000000e+00,9.000000000000000000e+01,8.999999999999999320e-03,2.772614635137391037e+00,4.444758853744307930e-03,2.761077495642711543e+00,4.897697532649518577e-03,1.475620670797656464e+00,2.487772102529525308e-03
1.000000000000000000e+00,9.200000000000000000e+01,9.199999999999999845e-03,2.831952104447070351e+00,4.617610814268406465e-03,2.820193506941380601e+00,5.043685790437046554e-03,1.508365297978081943e+00,2.578832358897581445e-03
1.000000000000000000e+00,9.400000000000000000e+01,9.400000000000000369e-03,2.891225375034681466e+00,4.791591495421218365e-03,2.879257559844214498e+00,5.187384308950626979e-03,1.541118712573477767e+00,2.669259407051991287e-03
1.000000000000000000e+00,9.500000000000000000e+01,9.499999999999999764e-03,2.920834399164907058e+00,4.879861479645073753e-03,2.908774472802876598e+00,5.257654710065904138e-03,1.557501620904188755e+00,2.713661590245626705e-03
1.000000000000000000e+00,9.700000000000000000e+01,9.700000000000000289e-03,2.979988579474126098e+00,5.058728182096538552e-03,2.967768090450994212e+00,5.395163975595876349e-03,1.590279652793750165e+00,2.801333391887901939e-03
1.000000000000000000e+00,9.900000000000000000e+01,9.900000000000000813e-03,3.039043964768369577e+00,5.238587215414322942e-03,3.026673084010231385e+00,5.538454464268969570e-03,1.623047534962359206e+00,2.893216874120149197e-03
1.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000021e-02,3.068554571550957899e+00,5.330533045710570891e-03,3.056092613215979359e+00,5.611886507861272091e-03,1.639431366909570142e+00,2.939952508714580894e-03
1.000000000000000000e+00,1.020000000000000000e+02,1.020000000000000073e-02,3.127475313499198162e+00,5.517066572679900187e-03,3.114850991672791558e+00,5.760186767234938381e-03,1.672185328477966193e+00,3.033115243444941579e-03
1.000000000000000000e+00,1.040000000000000000e+02,1.039999999999999952e-02,3.186328459083185738e+00,5.704719827356636783e-03,3.173532038129580624e+00,5.911555646733956081e-03,1.704941854295303205e+00,3.127365807569984415e-03
1.000000000000000000e+00,1.060000000000000000e+02,1.060000000000000005e-02,3.245125432320779879e+00,5.896015092870014740e-03,3.232096906312901474e+00,6.063750187233166167e-03,1.737690493045118689e+00,3.221927726110881789e-03
1.000000000000000000e+00,1.080000000000000000e+02,1.080000000000000057e-02,3.303854062050609386e+00,6.088241714262072543e-03,3.290595176830630741e+00,6.215482859498350568e-03,1.770441538013456384e+00,3.317245919980426391e-03
1.000000000000000000e+00,1.100000000000000000e+02,1.099999999999999936e-02,3.362545437541172522e+00,6.279806544485103462e-03,3.349035162124172960e+00,6.368877044073821200e-03,1.803215313779420015e+00,3.413229225860321160e-03
1.000000000000000000e+00,1.120000000000000000e+02,1.119999999999999989e-02,3.421235296634705936e+00,6.468648096136950416e-03,3.407429156073084719e+00,6.519484024860045315e-03,1.836014711666179355e+00,3.508279267861419241e-03
1.000000000000000000e+00,1.140000000000000000e+02,1.140000000000000041e-02,3.479881704594446123e+00,6.660176431599702448e-03,3.465759091238920675e+00,6.674539863188789710e-03,1.868823876519973837e+00,3.604411159777686814e-03
1.000000000000000000e+00,1.160000000000000000e+02,1.159999999999999920e-02,3.538441219069998755e+00,6.847025895661068388e-03,3.524019707983929273e+00,6.824229483008946440e-03,1.901636530969219585e+00,3.699714644087375662e-03
1.000000000000000000e+00,1.180000000000000000e+02,1.179999999999999973e-02,3.596926001502597448e+00,7.034380116235654581e-03,3.582227305730351752e+00,6.979737711115013843e-03,1.934461123348543143e+00,3.797605245667746900e-03
1.000000000000000000e+00,1.200000000000000000e+02,1.200000000000000025e-02,3.655386096533467466e+00,7.221966679175175971e-03,3.640408474499084335e+00,7.133998269405303523e-03,1.967305615658838436e+00,3.894649290698887732e-03
1.000000000000000000e+00,1.220000000000000000e+02,1.220000000000000077e-02,3.713835565352701540e+00,7.410466948372995688e-03,3.698523732733013603e+00,7.290978096038247709e-03,2.000156642358882575e+00,3.992219503728050567e-03
1.000000000000000000e+00,1.240000000000000000e+02,1.239999999999999956e-02,3.772196408240408694e+00,7.598624160114540553e-03,3.756577589714593213e+00,7.450315278753926081e-03,2.033001155917874225e+00,4.092146119346794231e-03
1.000000000000000000e+00,1.260000000000000000e+02,1.260000000000000009e-02,3.830484792714456521e+00,7.790551470297465628e-03,3.814526040979973054e+00,7.611836826249468446e-03,2.065840567467018385e+00,4.194161302068432837e-03
1.000000000000000000e+00,1.280000000000000000e+02,1.280000000000000061e-02,3.888704559226468405e+00,7.981087560246499790e-03,3.872439029741297389e+00,7.776778845144401327e-03,2.098683013501093875e+00,4.295630213325627930e-03
1.000000000000000000e+00,1.310000000000000000e+02,1.310000000000000053e-02,3.975858032905640549e+00,8.283876914858335702e-03,3.959244767285837963e+00,8.029523915915309090e-03,2.147944401669694248e+00,4.451233038343592810e-03
1.000000000000000000e+00,1.330000000000000000e+02,1.329999999999999932e-02,4.033893140952062417e+00,8.492689605921036750e-03,4.017066699949168651e+00,8.197833273539196358e-03,2.180801293136458874e+00,4.555450071170421937e-03
1.000000000000000000e+00,1.350000000000000000e+02,1.349999999999999985e-02,4.091833283567324564e+00,8.706389362080107358e-03,4.074815157184441539e+00,8.365429722931945825e-03,2.213648601603479094e+00,4.659639652153825876e-03
1.000000000000000000e+00,1.380000000000000000e+02,1.379999999999999977e-02,4.178680480867553726e+00,9.021543151385095355e-03,4.161332814288900117e+00,8.617748946881217259e-03,2.262937351062529245e+00,4.816592188452172886e-03
1.000000000000000000e+00,1.400000000000000000e+02,1.400000000000000029e-02,4.236530893170354695e+00,9.230419361019490468e-03,4.218948501133108486e+00,8.790277149290749020e-03,2.295809973072277632e+00,4.922205991646317821e-03
1.000000000000000000e+00,1.420000000000000000e+02,1.420000000000000082e-02,4.294330890421836244e+00,9.437143128207082371e-03,4.276561165449749957e+00,8.958535160750699319e-03,2.328696594068790038e+00,5.027871542587909227e-03
1.000000000000000000e+00,1.450000000000000000e+02,1.450000000000000074e-02,4.380931933893710273e+00,9.744015553130220414e-03,4.362895618471474890e+00,9.215058035719458571e-03,2.378040594564084120e+00,5.185398756210419721e-03
1.000000000000000000e+00,1.480000000000000000e+02,1.480000000000000066e-02,4.467429204086831085e+00,1.004754236637834391e-02,4.449076659213019980e+00,9.480040681617285525e-03,2.427398049506007904e+00,5.344538571444205563e-03
1.000000000000000000e+00,1.500000000000000000e+02,1.499999999999999944e-02,4.525043026465422003e+00,1.025643443159466109e-02,4.506466553677918263e+00,9.656036809544323724e-03,2.460287704419290566e+00,5.449929383600790947e-03
1.000000000000000000e+00,1.530000000000000000e+02,1.529999999999999936e-02,4.611443223992568008e+00,1.057279340939386650e-02,4.592399080530818800e+00,9.928727574246291182e-03,2.509632403749484375e+00,5.610801824730501236e-03
1.000000000000000000e+00,1.550000000000000000e+02,1.549999999999999989e-02,4.669003854576760482e+00,1.078255833645850106e-02,4.649605385966528281e+00,1.011480187966265834e-02,2.542545965834976496e+00,5.720471968587101559e-03
1.000000000000000000e+00,1.580000000000000000e+02,1.580000000000000154e-02,4.755312348915516907e+00,1.110647029479099046e-02,4.735310298601874024e+00,1.040140823576737178e-02,2.591936105115112188e+00,5.890409414385907629e-03
